name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kuala Lumpur,Malaysia",2015-01-20,32.9,24.9,27.9,34.8,24.9,29.3,21,67.6,8.841,100,4.17,rain,,,,12.9,57.2,1013.4,88.9,9.4,244.7,21,9,,2015-01-20T07:25:10,2015-01-20T19:23:01,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-21,32.9,24,27.5,36.8,24,29.1,22.2,74.5,0.177,100,4.17,rain,,,27.7,15.9,260.7,1014.7,89,9.6,183.8,16.2,6,,2015-01-21T07:25:25,2015-01-21T19:23:22,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-22,31,24.9,26.9,36.3,24.9,28.2,23.2,80.9,1.276,100,8.33,rain,,,,12.3,142.4,1014.6,89,8.4,197,17.1,7,,2015-01-22T07:25:39,2015-01-22T19:23:42,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-23,32.1,23.9,27,37.6,23.9,28.1,22.2,76.5,12.377,100,4.17,rain,,,,17.7,222.7,1012.6,90.3,8.3,274.3,23.7,9,,2015-01-23T07:25:52,2015-01-23T19:24:01,0.06,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-24,31,24,26.8,35.5,24,28.6,22.9,80.5,0.177,100,4.17,rain,,,,8.2,275,1012.8,89,6.9,261,22.4,9,,2015-01-24T07:26:04,2015-01-24T19:24:19,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-25,32.9,23.9,27.6,37.5,23.9,30,23.3,78.9,0.884,100,4.17,rain,,,,13,211,1013,89,7.4,213.3,18.5,7,,2015-01-25T07:26:15,2015-01-25T19:24:37,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-26,32.8,24.9,27.4,38.9,24.9,29,23.8,81.9,55.695,100,4.17,rain,,,,19.6,332.2,1012.2,90.2,6.8,209.7,18.1,8,,2015-01-26T07:26:26,2015-01-26T19:24:54,0.21,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-27,32.3,24.7,27.7,36.7,24.7,30.3,24,81.2,0,0,0,,,,,15.9,192.5,1011.3,89.1,7.7,274.2,23.7,9,,2015-01-27T07:26:35,2015-01-27T19:25:11,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-28,32.9,24.8,28.2,37.6,24.8,30.6,22.8,74,0.27,100,8.33,rain,,,,13,181,1010.4,89,8,285.3,24.6,9,,2015-01-28T07:26:44,2015-01-28T19:25:26,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-29,32.8,24.7,27.2,37.6,24.7,28.5,23.3,80.2,2.652,100,4.17,rain,,,,23.8,268.9,1011.1,89.4,7,189.5,16.3,6,,2015-01-29T07:26:52,2015-01-29T19:25:41,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-30,33,24,27.4,37.9,24,29.3,23.2,79.1,0.409,100,4.17,rain,,,,17.5,292.9,1011.9,89.8,7.8,125.8,10.9,4,,2015-01-30T07:26:59,2015-01-30T19:25:55,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-01-31,32.7,24,27.7,36.5,24,30.4,23.7,80.2,8.087,100,8.33,rain,,,,12.3,276,1012.4,89,8.8,240.6,20.7,8,,2015-01-31T07:27:05,2015-01-31T19:26:09,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-01,33,23.8,28.2,34.3,23.8,28.9,20.4,65.9,0,0,0,,,,,13.8,57,1012.1,88.9,9.2,293.5,25.4,10,,2015-02-01T07:27:10,2015-02-01T19:26:21,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-02,33.7,22.1,27.6,36,22.1,28.7,20,64.8,0,0,0,,,,,13.9,129.2,1013,89,10.2,285.1,24.7,10,,2015-02-02T07:27:14,2015-02-02T19:26:33,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-03,32.8,24.1,27.2,35.9,24.1,28.2,21.4,72.4,27.406,100,4.17,rain,,,,14.1,311.5,1014.2,89.4,9.3,234.1,20.2,8,,2015-02-03T07:27:17,2015-02-03T19:26:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-04,32,24.8,27.8,35.8,24.8,29.5,22.4,73.7,0.177,100,4.17,rain,,,,11.6,42.2,1013.5,89,10.2,159.7,13.9,5,,2015-02-04T07:27:20,2015-02-04T19:26:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-05,32.1,25.9,28.5,35.7,25.9,30.4,21.7,67.4,0,0,0,,,,,10.4,17.1,1012.5,89,10.3,239.5,20.7,8,,2015-02-05T07:27:21,2015-02-05T19:27:04,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-06,32,25.2,28.5,35.7,25.2,30.9,22,69,0,0,0,,,,,10.3,304.2,1012.6,89.4,8.8,262.9,22.7,10,,2015-02-06T07:27:22,2015-02-06T19:27:13,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-07,32.9,24.2,27.9,35.5,24.2,29.7,22,72.1,12.377,100,4.17,rain,,,,8.9,20.2,1012,89.2,9.8,293.9,25.3,10,,2015-02-07T07:27:22,2015-02-07T19:27:21,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-08,33,24.9,28.4,35.3,24.9,29.8,20.5,63.3,0,0,0,,,,,12.5,64,1011.8,89,10.1,285.8,24.8,10,,2015-02-08T07:27:21,2015-02-08T19:27:28,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-09,33.1,23.2,28.1,36,23.2,29.8,21.1,67.4,0,0,0,,,,,12.3,43.6,1012.3,88.9,10.3,281.2,24.3,10,,2015-02-09T07:27:19,2015-02-09T19:27:35,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-10,33.9,24.2,28.4,36.5,24.2,30,21.3,67,0,0,0,,,,,16.1,324,1012.3,89,9.7,279.1,24,9,,2015-02-10T07:27:16,2015-02-10T19:27:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-11,30.9,24.9,27.5,33.9,24.9,29.4,22.2,73.4,0.53,100,4.17,rain,,,,15.7,179,1011.9,89,9.1,285.7,24.6,10,,2015-02-11T07:27:13,2015-02-11T19:27:45,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-12,32.1,23.9,28.2,36.8,23.9,30.4,22.5,72.8,0,0,0,,,,,16.4,235,1011.2,89,7.4,277.8,24.1,10,,2015-02-12T07:27:09,2015-02-12T19:27:50,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-13,33.8,24.7,28.7,37.4,24.7,31.1,22.4,70.4,0,0,0,,,,,17.7,299.7,1010.7,89,9.2,263.8,22.8,9,,2015-02-13T07:27:03,2015-02-13T19:27:53,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-14,32.9,24.9,28.5,37.8,24.9,31.1,23,73.1,0,0,0,,,,,16.1,232.4,1010.4,89,7.9,268.3,23,10,,2015-02-14T07:26:57,2015-02-14T19:27:56,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-15,33.9,25.1,29.1,38.1,25.1,32.3,23,70.5,0,0,0,,,,,14.6,148.2,1010.3,89,8.8,278.3,23.9,10,,2015-02-15T07:26:51,2015-02-15T19:27:58,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-16,33.9,25,28.3,38.2,25,30.4,23.1,75.2,18.565,100,4.17,rain,,,,15.7,287.7,1010.5,89,7.9,276.2,23.9,10,,2015-02-16T07:26:43,2015-02-16T19:28:00,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-17,33.8,24,28.3,39,24,31,23.3,76,0.177,100,4.17,rain,,,,14.3,275.6,1009.9,89,8.1,261.3,22.5,9,,2015-02-17T07:26:35,2015-02-17T19:28:01,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-18,33.7,24,27.7,38,24,30,23.3,78.4,0,0,0,,,,,23,295.8,1011,90.2,7.3,284.6,24.6,10,,2015-02-18T07:26:26,2015-02-18T19:28:01,1,Overcast,Cloudy skies throughout the day.,cloudy,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-19,34,23.1,27.6,38.2,23.1,29.4,22.3,75.5,23.893,100,4.17,rain,,,,15.9,143.3,1011.9,91.4,9,102.9,8.7,4,,2015-02-19T07:26:16,2015-02-19T19:28:00,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-20,33.8,25.1,28.9,37.9,25.1,31.4,23,72.2,0,0,0,,,,,14.6,158.6,1011.1,89,9.3,232.9,20.1,8,,2015-02-20T07:26:05,2015-02-20T19:27:59,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-21,34.9,24,29.5,38.1,24,31.5,21.2,63.2,0,0,0,,,,,21.7,149.9,1010.3,88.9,10,305.9,26.6,10,,2015-02-21T07:25:54,2015-02-21T19:27:57,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-22,34.9,25,29.8,39.3,25,32.9,22.5,66.4,0,0,0,,,,,14.8,247.7,1010.9,89,10.2,303.2,26.3,10,,2015-02-22T07:25:42,2015-02-22T19:27:55,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-23,33.7,26,29.4,40.3,26,33.7,23.8,72.6,5.333,100,4.17,rain,,,,19.4,292.5,1011.5,89,10,251.7,21.6,9,,2015-02-23T07:25:30,2015-02-23T19:27:51,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-24,32.9,25,28.7,42.9,25,32.7,24.2,77.2,0,0,0,,,,,13,232.5,1011,89,10.1,230.8,20,8,,2015-02-24T07:25:17,2015-02-24T19:27:48,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-25,33,26.2,28.9,40.4,26.2,33.3,24.6,78.8,0,0,0,,,,,16.4,239.1,1009.7,89,7.6,253.9,21.9,9,,2015-02-25T07:25:03,2015-02-25T19:27:44,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-26,33.9,25,27.6,41.6,25,29.7,24.3,83.4,0,0,0,,,,,14.3,169.3,1009.6,89.8,6.2,236.8,20.5,8,,2015-02-26T07:24:48,2015-02-26T19:27:39,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-27,34.8,24.1,28.1,41.6,24.1,31.7,24.2,80.6,58.347,100,8.33,rain,,,,14.6,298.9,1009.1,89.5,6.7,295.1,25.6,10,,2015-02-27T07:24:33,2015-02-27T19:27:33,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-02-28,34,24.1,28.1,40.4,24.1,30.9,24,79.7,7.072,100,4.17,rain,,,46.4,21,240.4,1010,89.1,7,289.5,25.1,10,,2015-02-28T07:24:18,2015-02-28T19:27:28,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-01,33.1,25.8,28.7,40.3,25.8,32.8,24.6,79.9,0,0,0,,,,,15.9,259.2,1010.7,89,6.7,301.8,25.9,10,,2015-03-01T07:24:02,2015-03-01T19:27:21,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-02,32.9,25,28.8,40.1,25,32.3,24,76.5,0.07,100,4.17,rain,,,,12.5,252.7,1011.2,89,8,270.6,23.2,10,,2015-03-02T07:23:45,2015-03-02T19:27:14,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-03,33.8,25.6,28.5,40.3,25.6,31.4,23.5,75.3,0.707,100,4.17,rain,,,,20.1,283.9,1010.5,89,8.6,244.4,21.1,8,,2015-03-03T07:23:28,2015-03-03T19:27:07,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-04,33.7,24.9,28.1,41.3,24.9,31,23.6,77.8,0.023,100,4.17,rain,,,0,21.4,285.3,1010.9,89,9.8,276.9,23.8,10,,2015-03-04T07:23:10,2015-03-04T19:26:59,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-05,32.9,23.9,26.9,40.3,23.9,28.8,23.7,83.8,20.574,100,8.33,rain,,,51.8,18.6,317.5,1011.5,89.8,8.3,235.3,20.4,9,,2015-03-05T07:22:52,2015-03-05T19:26:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-06,32.8,24.9,27.7,40.1,24.9,30.4,24.2,81.9,0.177,100,4.17,rain,,,,14.3,229.1,1011.4,89,7.7,192,16.5,7,,2015-03-06T07:22:33,2015-03-06T19:26:42,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-07,33.9,25,27.9,42.8,25,30.2,23.6,78.7,0.525,100,8.33,rain,,,53.6,26,304.3,1010.9,89,8.1,231.1,19.9,9,,2015-03-07T07:22:14,2015-03-07T19:26:33,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-08,34.7,24.1,28.3,42.8,24.1,31.2,23.4,76.3,1.487,100,12.5,rain,,,,19.4,240.5,1012,90.2,10.2,207.3,17.9,7,,2015-03-08T07:21:54,2015-03-08T19:26:24,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-09,32.9,23.1,26.8,38.9,23.1,28.8,23.8,84.9,82.188,100,12.5,rain,,,29.5,17.9,310.8,1012.8,90.7,8.1,127.5,11.2,5,,2015-03-09T07:21:34,2015-03-09T19:26:14,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-10,33.5,23.9,27.3,40.3,23.9,29.8,23.8,83,22.029,100,8.33,rain,,,,15,276,1012.3,89,9.2,172.7,15,7,,2015-03-10T07:21:14,2015-03-10T19:26:04,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-11,33,24,27.5,39,24,30.1,23.9,82.2,14.814,100,12.5,rain,,,,13.4,293.1,1013,89.4,8.5,137,11.8,5,,2015-03-11T07:20:54,2015-03-11T19:25:54,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-12,32.7,26,28.6,40,26,32.1,24.5,79.4,0,0,0,,,,,13,279.9,1012.7,89,8.8,203,17.5,8,,2015-03-12T07:20:33,2015-03-12T19:25:43,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-13,32.9,25,28.6,36,25,30.5,22.3,71.1,0,0,0,,,,,10.5,96.4,1012.4,89,8,191.6,16.7,6,,2015-03-13T07:20:11,2015-03-13T19:25:32,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-14,33.9,24,28.8,39.2,24,30.8,21.5,66.6,0,0,0,,,,,18.2,303.6,1013.3,88.4,9.1,301.2,26.1,10,,2015-03-14T07:19:50,2015-03-14T19:25:21,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-15,33,25,29,38.6,25,32.1,23,71.3,0,0,0,,,,,14.8,286.6,1013.3,89,8.7,286.7,24.8,10,,2015-03-15T07:19:28,2015-03-15T19:25:09,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
"Kuala Lumpur,Malaysia",2015-03-16,33.8,25.8,29.1,40.3,25.8,33.1,23.9,74.7,0,0,0,,,,,16.1,245.4,1013.1,89,9.4,229.8,19.9,8,,2015-03-16T07:19:06,2015-03-16T19:24:57,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
